normalized_title,original_title,details,authors
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::c1cccc7d7dfb90e45c98c1eda0e69bb8 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::dcdc3c401386536a3daecd9b04efa485 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::ceabc1a3e12a6a94873d1a377f257872 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::bc306dcbb99d2ee47e36f95e1f500864 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::64705b6cf700f4506ca594c98091c19b | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::4e651f71c2a1585ea31faa117552fa5b | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::70cf44327e8c51475d4f74a831c0b3a5 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::fdaa25324edb79520fc42838da98a8a0 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::12835e2bdd8fc7656974ec3791366932 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::ed41fd35e218de91a2d293485a0e44e1 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::1ba6a3511e09a5309b0126dae1d4b60e | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
