normalized_title,original_title,details,authors
lilio: calendar generator for machine learning with timeseries data,lilio: Calendar generator for machine learning with timeseries data,doi_dedup___::ebeb3e70fc8ba7de5316fae81669644f | Zenodo | 2022-09-02,"[{'fullName': 'Liu, Yang', 'name': 'Yang', 'surname': 'Liu', 'rank': 1, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0002-1966-8460'}, 'provenance': None}}, {'fullName': 'Kalverla, Peter', 'name': 'Peter', 'surname': 'Kalverla', 'rank': 2, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0002-5025-7862'}, 'provenance': None}}, {'fullName': 'Schilperoort, Bart', 'name': 'Bart', 'surname': 'Schilperoort', 'rank': 3, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0003-4487-9822'}, 'provenance': None}}, {'fullName': 'Vijverberg, Sem', 'name': 'Sem', 'surname': 'Vijverberg', 'rank': 4, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0002-1839-2618'}, 'provenance': None}}, {'fullName': 'van Ingen, Jannes', 'name': 'Jannes', 'surname': 'van Ingen', 'rank': 5, 'pid': None}]"
lilio: calendar generator for machine learning with timeseries data,lilio: Calendar generator for machine learning with timeseries data,doi_dedup___::2c2319eb5e2de2a573bc0b23c5cc074f | Zenodo | 2023-02-15,"[{'fullName': 'Liu, Yang', 'name': 'Yang', 'surname': 'Liu', 'rank': 1, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0002-1966-8460'}, 'provenance': None}}, {'fullName': 'Kalverla, Peter', 'name': 'Peter', 'surname': 'Kalverla', 'rank': 2, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0002-5025-7862'}, 'provenance': None}}, {'fullName': 'Schilperoort, Bart', 'name': 'Bart', 'surname': 'Schilperoort', 'rank': 3, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0003-4487-9822'}, 'provenance': None}}, {'fullName': 'Vijverberg, Sem', 'name': 'Sem', 'surname': 'Vijverberg', 'rank': 4, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0002-1839-2618'}, 'provenance': None}}, {'fullName': 'van Ingen, Jannes', 'name': 'Jannes', 'surname': 'van Ingen', 'rank': 5, 'pid': None}, {'fullName': 'Alidoost, Fakhereh', 'name': 'Fakhereh', 'surname': 'Alidoost', 'rank': 6, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0001-8407-6472'}, 'provenance': None}}]"
lilio: calendar generator for machine learning with timeseries data,lilio: Calendar generator for machine learning with timeseries data,doi_dedup___::e9590e8007955adeb77d389b43b81f9b | Zenodo | 2024-01-19,"[{'fullName': 'Liu, Yang', 'name': 'Yang', 'surname': 'Liu', 'rank': 1, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0002-1966-8460'}, 'provenance': None}}, {'fullName': 'Kalverla, Peter', 'name': 'Peter', 'surname': 'Kalverla', 'rank': 2, 'pid': {'id': {'scheme': 'orcid', 'value': '0000-0002-5025-7862'}, 'provenance': None}}, {'fullName': 'Schilperoort, Bart', 'name': 'Bart', 'surname': 'Schilperoort', 'rank': 3, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0003-4487-9822'}, 'provenance': None}}, {'fullName': 'Vijverberg, Sem', 'name': 'Sem', 'surname': 'Vijverberg', 'rank': 4, 'pid': {'id': {'scheme': 'orcid', 'value': '0000-0002-1839-2618'}, 'provenance': None}}, {'fullName': 'van Ingen, Jannes', 'name': 'Jannes', 'surname': 'van Ingen', 'rank': 5, 'pid': None}, {'fullName': 'Alidoost, Fakhereh', 'name': 'Fakhereh', 'surname': 'Alidoost', 'rank': 6, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0001-8407-6472'}, 'provenance': None}}, {'fullName': 'Donnelly, Claire', 'name': 'Claire', 'surname': 'Donnelly', 'rank': 7, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0002-2546-4528'}, 'provenance': None}}]"
,,,
the community inversion framework: codes and documentation,The Community Inversion Framework: codes and documentation,doi_dedup___::ab995ec4003dad9a6e6696fd71dc5b98 | Zenodo | 2020-12-15,"[{'fullName': 'Antoine BERCHET', 'name': 'Antoine', 'surname': 'Antoine BERCHET', 'rank': 1, 'pid': {'id': {'scheme': 'orcid', 'value': '0000-0001-6709-0125'}, 'provenance': None}}, {'fullName': 'Espen Sollum', 'name': None, 'surname': 'Espen Sollum', 'rank': 2, 'pid': None}, {'fullName': 'Isabelle Pison', 'name': None, 'surname': 'Isabelle Pison', 'rank': 3, 'pid': None}, {'fullName': 'Rona L. Thompson', 'name': 'Rona L.', 'surname': 'Rona L. Thompson', 'rank': 4, 'pid': None}, {'fullName': 'Joël Thanwerdas', 'name': None, 'surname': 'Joël Thanwerdas', 'rank': 5, 'pid': None}, {'fullName': 'Audrey Fortems-Cheiney', 'name': None, 'surname': 'Audrey Fortems-Cheiney', 'rank': 6, 'pid': None}, {'fullName': 'Jacob C. A. van Peet', 'name': 'Jacob C. A.', 'surname': 'Jacob C. A. van Peet', 'rank': 7, 'pid': None}, {'fullName': 'Elise Potier', 'name': None, 'surname': 'Elise Potier', 'rank': 8, 'pid': None}, {'fullName': 'Frédéric Chevallier', 'name': None, 'surname': 'Frédéric Chevallier', 'rank': 9, 'pid': None}, {'fullName': 'Grégoire Broquet', 'name': None, 'surname': 'Grégoire Broquet', 'rank': 10, 'pid': None}]"
the community inversion framework: codes and documentation,The Community Inversion Framework: codes and documentation,doi_dedup___::356824c6347ba002e9b757b6a2846569 | Zenodo | 2021-06-30,"[{'fullName': 'Antoine BERCHET', 'name': None, 'surname': 'Antoine BERCHET', 'rank': 1, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0001-6709-0125'}, 'provenance': None}}, {'fullName': 'Espen Sollum', 'name': None, 'surname': 'Espen Sollum', 'rank': 2, 'pid': None}, {'fullName': 'Isabelle Pison', 'name': None, 'surname': 'Isabelle Pison', 'rank': 3, 'pid': None}, {'fullName': 'Rona L. Thompson', 'name': None, 'surname': 'Rona L. Thompson', 'rank': 4, 'pid': None}, {'fullName': 'Joël Thanwerdas', 'name': None, 'surname': 'Joël Thanwerdas', 'rank': 5, 'pid': None}, {'fullName': 'Audrey Fortems-Cheiney', 'name': None, 'surname': 'Audrey Fortems-Cheiney', 'rank': 6, 'pid': None}, {'fullName': 'Jacob C. A. van Peet', 'name': None, 'surname': 'Jacob C. A. van Peet', 'rank': 7, 'pid': None}, {'fullName': 'Elise Potier', 'name': None, 'surname': 'Elise Potier', 'rank': 8, 'pid': None}, {'fullName': 'Frédéric Chevallier', 'name': None, 'surname': 'Frédéric Chevallier', 'rank': 9, 'pid': None}, {'fullName': 'Grégoire Broquet', 'name': None, 'surname': 'Grégoire Broquet', 'rank': 10, 'pid': None}, {'fullName': 'Adrien Berchet', 'name': None, 'surname': 'Adrien Berchet', 'rank': 11, 'pid': None}]"
,,,
s2spy,s2spy,doi_dedup___::ff796738fd8e09aa86aab1edde75e251 | Zenodo | 2023-03-08,"[{'fullName': 'Liu, Yang', 'name': 'Yang', 'surname': 'Liu', 'rank': 1, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0002-1966-8460'}, 'provenance': None}}, {'fullName': 'Kalverla, Peter', 'name': 'Peter', 'surname': 'Kalverla', 'rank': 2, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0002-5025-7862'}, 'provenance': None}}, {'fullName': 'Schilperoort, Bart', 'name': 'Bart', 'surname': 'Schilperoort', 'rank': 3, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0003-4487-9822'}, 'provenance': None}}, {'fullName': 'Alidoost, Fakhereh', 'name': 'Fakhereh', 'surname': 'Alidoost', 'rank': 4, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0001-8407-6472'}, 'provenance': None}}, {'fullName': 'Vijverberg, Sem', 'name': 'Sem', 'surname': 'Vijverberg', 'rank': 5, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0002-1839-2618'}, 'provenance': None}}, {'fullName': 'van Ingen, Jannes', 'name': 'Jannes', 'surname': 'van Ingen', 'rank': 6, 'pid': None}]"
s2spy,s2spy,doi_dedup___::850ba2d243be46fb6e02982d3dc51375 | Zenodo | 2024-10-09,"[{'fullName': 'Liu, Yang', 'name': 'Yang', 'surname': 'Liu', 'rank': 1, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0002-1966-8460'}, 'provenance': None}}, {'fullName': 'Kalverla, Peter', 'name': 'Peter', 'surname': 'Kalverla', 'rank': 2, 'pid': {'id': {'scheme': 'orcid', 'value': '0000-0002-5025-7862'}, 'provenance': None}}, {'fullName': 'Schilperoort, Bart', 'name': 'Bart', 'surname': 'Schilperoort', 'rank': 3, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0003-4487-9822'}, 'provenance': None}}, {'fullName': 'Alidoost, Fakhereh', 'name': 'Fakhereh', 'surname': 'Alidoost', 'rank': 4, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0001-8407-6472'}, 'provenance': None}}, {'fullName': 'Vijverberg, Sem', 'name': 'Sem', 'surname': 'Vijverberg', 'rank': 5, 'pid': {'id': {'scheme': 'orcid', 'value': '0000-0002-1839-2618'}, 'provenance': None}}, {'fullName': 'van Ingen, Jannes', 'name': 'Jannes', 'surname': 'van Ingen', 'rank': 6, 'pid': None}, {'fullName': 'Donnelly, Claire', 'name': 'Claire', 'surname': 'Donnelly', 'rank': 7, 'pid': {'id': {'scheme': 'orcid_pending', 'value': '0000-0002-2546-4528'}, 'provenance': None}}]"
,,,
